standard,family,shape,lb_per_ft,A_in2,d_in,bf_in,tf_in,tw_in,rx_in,ry_in,T,kdes
AISC,2L,2L8X4X3/4X3/8LLBB,57.4,17.0,8.0,,,,2.55,1.55,,
AISC,2L,2L8X4X3/4X3/4LLBB,57.4,17.0,8.0,,,,2.55,1.69,,
AISC,2L,2L8X4X5/8LLBB,48.4,14.3,8.0,,,,2.56,1.39,,
AISC,2L,2L8X4X5/8X3/8LLBB,48.4,14.3,8.0,,,,2.56,1.52,,
AISC,2L,2L8X4X5/8X3/4LLBB,48.4,14.3,8.0,,,,2.56,1.66,,
AISC,2L,2L8X4X9/16LLBB,43.8,13.0,8.0,,,,2.57,1.38,,
AISC,2L,2L8X4X9/16X3/8LLBB,43.8,13.0,8.0,,,,2.57,1.51,,
AISC,2L,2L8X4X9/16X3/4LLBB,43.8,13.0,8.0,,,,2.57,1.65,,
AISC,2L,2L8X4X1/2LLBB,39.2,11.6,8.0,,,,2.58,1.38,,
AISC,2L,2L8X4X1/2X3/8LLBB,39.2,11.6,8.0,,,,2.58,1.5,,
AISC,2L,2L8X4X1/2X3/4LLBB,39.2,11.6,8.0,,,,2.58,1.63,,
AISC,2L,2L8X4X7/16LLBB,34.4,10.2,8.0,,,,2.59,1.37,,
AISC,2L,2L8X4X7/16X3/8LLBB,34.4,10.2,8.0,,,,2.59,1.49,,
AISC,2L,2L8X4X7/16X3/4LLBB,34.4,10.2,8.0,,,,2.59,1.62,,
AISC,2L,2L7X4X3/4LLBB,52.4,15.5,7.0,,,,2.21,1.48,,
AISC,2L,2L7X4X3/4X3/8LLBB,52.4,15.5,7.0,,,,2.21,1.61,,
AISC,2L,2L7X4X3/4X3/4LLBB,52.4,15.5,7.0,,,,2.21,1.75,,
AISC,2L,2L7X4X5/8LLBB,44.2,13.0,7.0,,,,2.23,1.45,,
AISC,2L,2L7X4X5/8X3/8LLBB,44.2,13.0,7.0,,,,2.23,1.58,,
AISC,2L,2L7X4X5/8X3/4LLBB,44.2,13.0,7.0,,,,2.23,1.73,,
AISC,2L,2L7X4X1/2LLBB,35.8,10.5,7.0,,,,2.25,1.44,,
AISC,2L,2L7X4X1/2X3/8LLBB,35.8,10.5,7.0,,,,2.25,1.56,,
AISC,2L,2L7X4X1/2X3/4LLBB,35.8,10.5,7.0,,,,2.25,1.7,,
AISC,2L,2L7X4X7/16LLBB,31.4,9.26,7.0,,,,2.26,1.43,,
AISC,2L,2L7X4X7/16X3/8LLBB,31.4,9.26,7.0,,,,2.26,1.55,,
AISC,2L,2L7X4X7/16X3/4LLBB,31.4,9.26,7.0,,,,2.26,1.68,,
AISC,2L,2L7X4X3/8LLBB,27.2,8.0,7.0,,,,2.27,1.42,,
AISC,2L,2L7X4X3/8X3/8LLBB,27.2,8.0,7.0,,,,2.27,1.54,,
AISC,2L,2L7X4X3/8X3/4LLBB,27.2,8.0,7.0,,,,2.27,1.67,,
AISC,2L,2L6X4X7/8LLBB,54.4,16.0,6.0,,,,1.86,1.57,,
AISC,2L,2L6X4X7/8X3/8LLBB,54.4,16.0,6.0,,,,1.86,1.71,,
AISC,2L,2L6X4X7/8X3/4LLBB,54.4,16.0,6.0,,,,1.86,1.86,,
AISC,2L,2L6X4X3/4LLBB,47.2,13.9,6.0,,,,1.88,1.55,,
AISC,2L,2L6X4X3/4X3/8LLBB,47.2,13.9,6.0,,,,1.88,1.68,,
AISC,2L,2L6X4X3/4X3/4LLBB,47.2,13.9,6.0,,,,1.88,1.83,,
AISC,2L,2L6X4X5/8LLBB,40.0,11.7,6.0,,,,1.89,1.53,,
AISC,2L,2L6X4X5/8X3/8LLBB,40.0,11.7,6.0,,,,1.89,1.66,,
AISC,2L,2L6X4X5/8X3/4LLBB,40.0,11.7,6.0,,,,1.89,1.8,,
AISC,2L,2L6X4X9/16LLBB,36.2,10.6,6.0,,,,1.9,1.52,,
AISC,2L,2L6X4X9/16X3/8LLBB,36.2,10.6,6.0,,,,1.9,1.65,,
AISC,2L,2L6X4X9/16X3/4LLBB,36.2,10.6,6.0,,,,1.9,1.79,,
AISC,2L,2L6X4X1/2LLBB,32.4,9.5,6.0,,,,1.91,1.51,,
AISC,2L,2L6X4X1/2X3/8LLBB,32.4,9.5,6.0,,,,1.91,1.64,,
AISC,2L,2L6X4X1/2X3/4LLBB,32.4,9.5,6.0,,,,1.91,1.77,,
AISC,2L,2L6X4X7/16LLBB,28.6,8.36,6.0,,,,1.92,1.5,,
AISC,2L,2L6X4X7/16X3/8LLBB,28.6,8.36,6.0,,,,1.92,1.62,,
AISC,2L,2L6X4X7/16X3/4LLBB,28.6,8.36,6.0,,,,1.92,1.76,,
AISC,2L,2L6X4X3/8LLBB,24.6,7.22,6.0,,,,1.93,1.49,,
AISC,2L,2L6X4X3/8X3/8LLBB,24.6,7.22,6.0,,,,1.93,1.61,,
AISC,2L,2L6X4X3/8X3/4LLBB,24.6,7.22,6.0,,,,1.93,1.75,,
AISC,2L,2L6X4X5/16LLBB,20.6,6.06,6.0,,,,1.94,1.48,,
AISC,2L,2L6X4X5/16X3/8LLBB,20.6,6.06,6.0,,,,1.94,1.6,,
AISC,2L,2L6X4X5/16X3/4LLBB,20.6,6.06,6.0,,,,1.94,1.74,,
AISC,2L,2L6X3-1/2X1/2LLBB,30.6,9.0,6.0,,,,1.92,1.27,,
AISC,2L,2L6X3-1/2X1/2X3/8LLBB,30.6,9.0,6.0,,,,1.92,1.4,,
AISC,2L,2L6X3-1/2X1/2X3/4LLBB,30.6,9.0,6.0,,,,1.92,1.54,,
AISC,2L,2L6X3-1/2X3/8LLBB,23.4,6.88,6.0,,,,1.93,1.26,,
AISC,2L,2L6X3-1/2X3/8X3/8LLBB,23.4,6.88,6.0,,,,1.93,1.38,,
AISC,2L,2L6X3-1/2X3/8X3/4LLBB,23.4,6.88,6.0,,,,1.93,1.52,,
AISC,2L,2L6X3-1/2X5/16LLBB,19.6,5.78,6.0,,,,1.94,1.25,,
AISC,2L,2L6X3-1/2X5/16X3/8LLBB,19.6,5.78,6.0,,,,1.94,1.37,,
AISC,2L,2L6X3-1/2X5/16X3/4LLBB,19.6,5.78,6.0,,,,1.94,1.5,,
AISC,2L,2L5X3-1/2X3/4LLBB,39.6,11.7,5.0,,,,1.55,1.39,,
AISC,2L,2L5X3-1/2X3/4X3/8LLBB,39.6,11.7,5.0,,,,1.55,1.53,,
AISC,2L,2L5X3-1/2X3/4X3/4LLBB,39.6,11.7,5.0,,,,1.55,1.68,,
AISC,2L,2L5X3-1/2X5/8LLBB,33.6,9.86,5.0,,,,1.56,1.37,,
AISC,2L,2L5X3-1/2X5/8X3/8LLBB,33.6,9.86,5.0,,,,1.56,1.5,,
AISC,2L,2L5X3-1/2X5/8X3/4LLBB,33.6,9.86,5.0,,,,1.56,1.65,,
AISC,2L,2L5X3-1/2X1/2LLBB,27.2,8.0,5.0,,,,1.58,1.35,,
AISC,2L,2L5X3-1/2X1/2X3/8LLBB,27.2,8.0,5.0,,,,1.58,1.48,,
AISC,2L,2L5X3-1/2X1/2X3/4LLBB,27.2,8.0,5.0,,,,1.58,1.62,,
AISC,2L,2L5X3-1/2X3/8LLBB,20.8,6.1,5.0,,,,1.59,1.33,,
AISC,2L,2L5X3-1/2X3/8X3/8LLBB,20.8,6.1,5.0,,,,1.59,1.46,,
AISC,2L,2L5X3-1/2X3/8X3/4LLBB,20.8,6.1,5.0,,,,1.59,1.59,,
AISC,2L,2L5X3-1/2X5/16LLBB,17.4,5.12,5.0,,,,1.6,1.32,,
AISC,2L,2L5X3-1/2X5/16X3/8LLBB,17.4,5.12,5.0,,,,1.6,1.44,,
AISC,2L,2L5X3-1/2X5/16X3/4LLBB,17.4,5.12,5.0,,,,1.6,1.58,,
AISC,2L,2L5X3-1/2X1/4LLBB,14.0,4.14,5.0,,,,1.61,1.31,,
AISC,2L,2L5X3-1/2X1/4X3/8LLBB,14.0,4.14,5.0,,,,1.61,1.43,,
AISC,2L,2L5X3-1/2X1/4X3/4LLBB,14.0,4.14,5.0,,,,1.61,1.57,,
AISC,2L,2L5X3X1/2LLBB,25.6,7.5,5.0,,,,1.58,1.11,,
AISC,2L,2L5X3X1/2X3/8LLBB,25.6,7.5,5.0,,,,1.58,1.24,,
AISC,2L,2L5X3X1/2X3/4LLBB,25.6,7.5,5.0,,,,1.58,1.39,,
AISC,2L,2L5X3X7/16LLBB,22.6,6.62,5.0,,,,1.59,1.1,,
AISC,2L,2L5X3X7/16X3/8LLBB,22.6,6.62,5.0,,,,1.59,1.23,,
AISC,2L,2L5X3X7/16X3/4LLBB,22.6,6.62,5.0,,,,1.59,1.38,,
AISC,2L,2L5X3X3/8LLBB,19.6,5.72,5.0,,,,1.6,1.09,,
AISC,2L,2L5X3X3/8X3/8LLBB,19.6,5.72,5.0,,,,1.6,1.22,,
AISC,2L,2L5X3X3/8X3/4LLBB,19.6,5.72,5.0,,,,1.6,1.36,,
AISC,2L,2L5X3X5/16LLBB,16.4,4.82,5.0,,,,1.61,1.08,,
AISC,2L,2L5X3X5/16X3/8LLBB,16.4,4.82,5.0,,,,1.61,1.21,,
AISC,2L,2L5X3X5/16X3/4LLBB,16.4,4.82,5.0,,,,1.61,1.35,,
AISC,2L,2L5X3X1/4LLBB,13.2,3.88,5.0,,,,1.62,1.07,,
AISC,2L,2L5X3X1/4X3/8LLBB,13.2,3.88,5.0,,,,1.62,1.19,,
AISC,2L,2L5X3X1/4X3/4LLBB,13.2,3.88,5.0,,,,1.62,1.33,,
AISC,2L,2L4X3-1/2X1/2LLBB,23.8,7.0,4.0,,,,1.23,1.44,,
AISC,2L,2L4X3-1/2X1/2X3/8LLBB,23.8,7.0,4.0,,,,1.23,1.57,,
AISC,2L,2L4X3-1/2X1/2X3/4LLBB,23.8,7.0,4.0,,,,1.23,1.72,,
AISC,2L,2L4X3-1/2X3/8LLBB,18.2,5.36,4.0,,,,1.25,1.42,,
AISC,2L,2L4X3-1/2X3/8X3/8LLBB,18.2,5.36,4.0,,,,1.25,1.55,,
AISC,2L,2L4X3-1/2X3/8X3/4LLBB,18.2,5.36,4.0,,,,1.25,1.69,,
AISC,2L,2L4X3-1/2X5/16LLBB,15.4,4.5,4.0,,,,1.25,1.4,,
AISC,2L,2L4X3-1/2X5/16X3/8LLBB,15.4,4.5,4.0,,,,1.25,1.53,,
AISC,2L,2L4X3-1/2X5/16X3/4LLBB,15.4,4.5,4.0,,,,1.25,1.68,,
AISC,2L,2L4X3-1/2X1/4LLBB,12.4,3.64,4.0,,,,1.26,1.39,,
AISC,2L,2L4X3-1/2X1/4X3/8LLBB,12.4,3.64,4.0,,,,1.26,1.52,,
AISC,2L,2L4X3-1/2X1/4X3/4LLBB,12.4,3.64,4.0,,,,1.26,1.66,,
AISC,2L,2L4X3X5/8LLBB,27.2,7.98,4.0,,,,1.23,1.21,,
AISC,2L,2L4X3X5/8X3/8LLBB,27.2,7.98,4.0,,,,1.23,1.35,,
AISC,2L,2L4X3X5/8X3/4LLBB,27.2,7.98,4.0,,,,1.23,1.5,,
AISC,2L,2L4X3X1/2LLBB,22.2,6.5,4.0,,,,1.24,1.19,,
AISC,2L,2L4X3X1/2X3/8LLBB,22.2,6.5,4.0,,,,1.24,1.32,,
AISC,2L,2L4X3X1/2X3/4LLBB,22.2,6.5,4.0,,,,1.24,1.47,,
AISC,2L,2L4X3X3/8LLBB,17.0,4.98,4.0,,,,1.26,1.17,,
AISC,2L,2L4X3X3/8X3/8LLBB,17.0,4.98,4.0,,,,1.26,1.3,,
AISC,2L,2L4X3X3/8X3/4LLBB,17.0,4.98,4.0,,,,1.26,1.44,,
AISC,2L,2L4X3X5/16LLBB,14.4,4.18,4.0,,,,1.27,1.16,,
AISC,2L,2L4X3X5/16X3/8LLBB,14.4,4.18,4.0,,,,1.27,1.29,,
AISC,2L,2L4X3X5/16X3/4LLBB,14.4,4.18,4.0,,,,1.27,1.43,,
AISC,2L,2L4X3X1/4LLBB,11.6,3.38,4.0,,,,1.27,1.15,,
AISC,2L,2L4X3X1/4X3/8LLBB,11.6,3.38,4.0,,,,1.27,1.27,,
AISC,2L,2L4X3X1/4X3/4LLBB,11.6,3.38,4.0,,,,1.27,1.41,,
AISC,2L,2L3-1/2X3X1/2LLBB,20.4,6.04,3.5,,,,1.07,1.23,,
AISC,2L,2L3-1/2X3X1/2X3/8LLBB,20.4,6.04,3.5,,,,1.07,1.37,,
AISC,2L,2L3-1/2X3X1/2X3/4LLBB,20.4,6.04,3.5,,,,1.07,1.52,,
AISC,2L,2L3-1/2X3X7/16LLBB,18.2,5.34,3.5,,,,1.08,1.22,,
AISC,2L,2L3-1/2X3X7/16X3/8LLBB,18.2,5.34,3.5,,,,1.08,1.36,,
AISC,2L,2L3-1/2X3X7/16X3/4LLBB,18.2,5.34,3.5,,,,1.08,1.51,,
AISC,2L,2L3-1/2X3X3/8LLBB,15.8,4.64,3.5,,,,1.09,1.21,,
AISC,2L,2L3-1/2X3X3/8X3/8LLBB,15.8,4.64,3.5,,,,1.09,1.35,,
AISC,2L,2L3-1/2X3X3/8X3/4LLBB,15.8,4.64,3.5,,,,1.09,1.49,,
AISC,2L,2L3-1/2X3X5/16LLBB,13.2,3.9,3.5,,,,1.09,1.2,,
AISC,2L,2L3-1/2X3X5/16X3/8LLBB,13.2,3.9,3.5,,,,1.09,1.33,,
AISC,2L,2L3-1/2X3X5/16X3/4LLBB,13.2,3.9,3.5,,,,1.09,1.48,,
AISC,2L,2L3-1/2X3X1/4LLBB,10.8,3.16,3.5,,,,1.1,1.19,,
AISC,2L,2L3-1/2X3X1/4X3/8LLBB,10.8,3.16,3.5,,,,1.1,1.32,,
AISC,2L,2L3-1/2X3X1/4X3/4LLBB,10.8,3.16,3.5,,,,1.1,1.46,,
AISC,2L,2L3-1/2X2-1/2X1/2LLBB,18.8,5.54,3.5,,,,1.08,0.992,,
AISC,2L,2L3-1/2X2-1/2X1/2X3/8LLBB,18.8,5.54,3.5,,,,1.08,1.13,,
AISC,2L,2L3-1/2X2-1/2X1/2X3/4LLBB,18.8,5.54,3.5,,,,1.08,1.28,,
AISC,2L,2L3-1/2X2-1/2X3/8LLBB,14.4,4.24,3.5,,,,1.1,0.97,,
AISC,2L,2L3-1/2X2-1/2X3/8X3/8LLBB,14.4,4.24,3.5,,,,1.1,1.11,,
AISC,2L,2L3-1/2X2-1/2X3/8X3/4LLBB,14.4,4.24,3.5,,,,1.1,1.25,,
AISC,2L,2L3-1/2X2-1/2X5/16LLBB,12.2,3.58,3.5,,,,1.11,0.96,,
AISC,2L,2L3-1/2X2-1/2X5/16X3/8LLBB,12.2,3.58,3.5,,,,1.11,1.09,,
AISC,2L,2L3-1/2X2-1/2X5/16X3/4LLBB,12.2,3.58,3.5,,,,1.11,1.24,,
AISC,2L,2L3-1/2X2-1/2X1/4LLBB,9.8,2.9,3.5,,,,1.12,0.95,,
AISC,2L,2L3-1/2X2-1/2X1/4X3/8LLBB,9.8,2.9,3.5,,,,1.12,1.08,,
AISC,2L,2L3-1/2X2-1/2X1/4X3/4LLBB,9.8,2.9,3.5,,,,1.12,1.22,,
AISC,2L,2L3X2-1/2X1/2LLBB,17.0,5.0,3.0,,,,0.91,1.04,,
AISC,2L,2L3X2-1/2X1/2X3/8LLBB,17.0,5.0,3.0,,,,0.91,1.18,,
AISC,2L,2L3X2-1/2X1/2X3/4LLBB,17.0,5.0,3.0,,,,0.91,1.33,,
AISC,2L,2L3X2-1/2X7/16LLBB,15.2,4.44,3.0,,,,0.917,1.02,,
AISC,2L,2L3X2-1/2X7/16X3/8LLBB,15.2,4.44,3.0,,,,0.917,1.16,,
AISC,2L,2L3X2-1/2X7/16X3/4LLBB,15.2,4.44,3.0,,,,0.917,1.32,,
AISC,2L,2L3X2-1/2X3/8LLBB,13.2,3.86,3.0,,,,0.924,1.01,,
AISC,2L,2L3X2-1/2X3/8X3/8LLBB,13.2,3.86,3.0,,,,0.924,1.15,,
AISC,2L,2L3X2-1/2X3/8X3/4LLBB,13.2,3.86,3.0,,,,0.924,1.3,,
AISC,2L,2L3X2-1/2X5/16LLBB,11.2,3.26,3.0,,,,0.932,1.0,,
AISC,2L,2L3X2-1/2X5/16X3/8LLBB,11.2,3.26,3.0,,,,0.932,1.14,,
AISC,2L,2L3X2-1/2X5/16X3/4LLBB,11.2,3.26,3.0,,,,0.932,1.29,,
AISC,2L,2L3X2-1/2X1/4LLBB,9.0,2.64,3.0,,,,0.94,0.991,,
AISC,2L,2L3X2-1/2X1/4X3/8LLBB,9.0,2.64,3.0,,,,0.94,1.12,,
AISC,2L,2L3X2-1/2X1/4X3/4LLBB,9.0,2.64,3.0,,,,0.94,1.27,,
AISC,2L,2L3X2-1/2X3/16LLBB,6.78,2.0,3.0,,,,0.947,0.98,,
AISC,2L,2L3X2-1/2X3/16X3/8LLBB,6.78,2.0,3.0,,,,0.947,1.11,,
AISC,2L,2L3X2-1/2X3/16X3/4LLBB,6.78,2.0,3.0,,,,0.947,1.25,,
AISC,2L,2L3X2X1/2LLBB,15.4,4.52,3.0,,,,0.922,0.795,,
AISC,2L,2L3X2X1/2X3/8LLBB,15.4,4.52,3.0,,,,0.922,0.94,,
AISC,2L,2L3X2X1/2X3/4LLBB,15.4,4.52,3.0,,,,0.922,1.1,,
AISC,2L,2L3X2X3/8LLBB,11.8,3.5,3.0,,,,0.937,0.771,,
AISC,2L,2L3X2X3/8X3/8LLBB,11.8,3.5,3.0,,,,0.937,0.911,,
AISC,2L,2L3X2X3/8X3/4LLBB,11.8,3.5,3.0,,,,0.937,1.07,,
AISC,2L,2L3X2X5/16LLBB,10.0,2.96,3.0,,,,0.945,0.76,,
AISC,2L,2L3X2X5/16X3/8LLBB,10.0,2.96,3.0,,,,0.945,0.897,,
AISC,2L,2L3X2X5/16X3/4LLBB,10.0,2.96,3.0,,,,0.945,1.05,,
AISC,2L,2L3X2X1/4LLBB,8.2,2.4,3.0,,,,0.953,0.749,,
AISC,2L,2L3X2X1/4X3/8LLBB,8.2,2.4,3.0,,,,0.953,0.883,,
AISC,2L,2L3X2X1/4X3/4LLBB,8.2,2.4,3.0,,,,0.953,1.03,,
AISC,2L,2L3X2X3/16LLBB,6.14,1.83,3.0,,,,0.961,0.739,,
AISC,2L,2L3X2X3/16X3/8LLBB,6.14,1.83,3.0,,,,0.961,0.869,,
AISC,2L,2L3X2X3/16X3/4LLBB,6.14,1.83,3.0,,,,0.961,1.02,,
AISC,2L,2L2-1/2X2X3/8LLBB,10.6,3.1,2.5,,,,0.766,0.815,,
AISC,2L,2L2-1/2X2X3/8X3/8LLBB,10.6,3.1,2.5,,,,0.766,0.957,,
AISC,2L,2L2-1/2X2X3/8X3/4LLBB,10.6,3.1,2.5,,,,0.766,1.11,,
AISC,2L,2L2-1/2X2X5/16LLBB,9.0,2.64,2.5,,,,0.774,0.804,,
AISC,2L,2L2-1/2X2X5/16X3/8LLBB,9.0,2.64,2.5,,,,0.774,0.943,,
AISC,2L,2L2-1/2X2X5/16X3/4LLBB,9.0,2.64,2.5,,,,0.774,1.1,,
AISC,2L,2L2-1/2X2X1/4LLBB,7.24,2.14,2.5,,,,0.782,0.794,,
AISC,2L,2L2-1/2X2X1/4X3/8LLBB,7.24,2.14,2.5,,,,0.782,0.93,,
AISC,2L,2L2-1/2X2X1/4X3/4LLBB,7.24,2.14,2.5,,,,0.782,1.08,,
AISC,2L,2L2-1/2X2X3/16LLBB,5.5,1.64,2.5,,,,0.79,0.784,,
AISC,2L,2L2-1/2X2X3/16X3/8LLBB,5.5,1.64,2.5,,,,0.79,0.916,,
AISC,2L,2L2-1/2X2X3/16X3/4LLBB,5.5,1.64,2.5,,,,0.79,1.07,,
AISC,2L,2L2-1/2X1-1/2X1/4LLBB,6.38,1.89,2.5,,,,0.79,0.551,,
AISC,2L,2L2-1/2X1-1/2X1/4X3/8LLBB,6.38,1.89,2.5,,,,0.79,0.691,,
AISC,2L,2L2-1/2X1-1/2X1/4X3/4LLBB,6.38,1.89,2.5,,,,0.79,0.85,,
AISC,2L,2L2-1/2X1-1/2X3/16LLBB,4.88,1.45,2.5,,,,0.8,0.541,,
AISC,2L,2L2-1/2X1-1/2X3/16X3/8LLBB,4.88,1.45,2.5,,,,0.8,0.677,,
AISC,2L,2L2-1/2X1-1/2X3/16X3/4LLBB,4.88,1.45,2.5,,,,0.8,0.833,,
AISC,2L,2L8X6X1SLBB,88.4,26.2,6.0,,,,1.72,3.63,,
AISC,2L,2L8X6X1X3/8SLBB,88.4,26.2,6.0,,,,1.72,3.77,,
AISC,2L,2L8X6X1X3/4SLBB,88.4,26.2,6.0,,,,1.72,3.91,,
AISC,2L,2L8X6X7/8SLBB,78.2,23.0,6.0,,,,1.74,3.61,,
AISC,2L,2L8X6X7/8X3/8SLBB,78.2,23.0,6.0,,,,1.74,3.75,,
AISC,2L,2L8X6X7/8X3/4SLBB,78.2,23.0,6.0,,,,1.74,3.89,,
AISC,2L,2L8X6X3/4SLBB,67.6,20.0,6.0,,,,1.75,3.59,,
AISC,2L,2L8X6X3/4X3/8SLBB,67.6,20.0,6.0,,,,1.75,3.72,,
AISC,2L,2L8X6X3/4X3/4SLBB,67.6,20.0,6.0,,,,1.75,3.86,,
AISC,2L,2L8X6X5/8SLBB,57.0,16.8,6.0,,,,1.77,3.57,,
AISC,2L,2L8X6X5/8X3/8SLBB,57.0,16.8,6.0,,,,1.77,3.7,,
AISC,2L,2L8X6X5/8X3/4SLBB,57.0,16.8,6.0,,,,1.77,3.84,,
AISC,2L,2L8X6X9/16SLBB,51.4,15.2,6.0,,,,1.78,3.55,,
AISC,2L,2L8X6X9/16X3/8SLBB,51.4,15.2,6.0,,,,1.78,3.69,,
AISC,2L,2L8X6X9/16X3/4SLBB,51.4,15.2,6.0,,,,1.78,3.83,,
AISC,2L,2L8X6X1/2SLBB,46.0,13.6,6.0,,,,1.79,3.54,,
AISC,2L,2L8X6X1/2X3/8SLBB,46.0,13.6,6.0,,,,1.79,3.68,,
AISC,2L,2L8X6X1/2X3/4SLBB,46.0,13.6,6.0,,,,1.79,3.81,,
AISC,2L,2L8X6X7/16SLBB,40.4,12.0,6.0,,,,1.8,3.53,,
AISC,2L,2L8X6X7/16X3/8SLBB,40.4,12.0,6.0,,,,1.8,3.66,,
AISC,2L,2L8X6X7/16X3/4SLBB,40.4,12.0,6.0,,,,1.8,3.8,,
AISC,2L,2L8X4X1SLBB,74.8,22.2,4.0,,,,1.03,3.94,,
AISC,2L,2L8X4X1X3/8SLBB,74.8,22.2,4.0,,,,1.03,4.08,,
AISC,2L,2L8X4X1X3/4SLBB,74.8,22.2,4.0,,,,1.03,4.23,,
AISC,2L,2L8X4X7/8SLBB,66.2,19.6,4.0,,,,1.04,3.91,,
AISC,2L,2L8X4X7/8X3/8SLBB,66.2,19.6,4.0,,,,1.04,4.06,,
AISC,2L,2L8X4X7/8X3/4SLBB,66.2,19.6,4.0,,,,1.04,4.21,,
AISC,2L,2L8X4X3/4SLBB,57.4,17.0,4.0,,,,1.05,3.89,,
AISC,2L,2L8X4X3/4X3/8SLBB,57.4,17.0,4.0,,,,1.05,4.03,,
AISC,2L,2L8X4X3/4X3/4SLBB,57.4,17.0,4.0,,,,1.05,4.18,,
AISC,2L,2L8X4X5/8SLBB,48.4,14.3,4.0,,,,1.06,3.86,,
AISC,2L,2L8X4X5/8X3/8SLBB,48.4,14.3,4.0,,,,1.06,4.0,,
AISC,2L,2L8X4X5/8X3/4SLBB,48.4,14.3,4.0,,,,1.06,4.15,,
AISC,2L,2L8X4X9/16SLBB,43.8,13.0,4.0,,,,1.07,3.85,,
AISC,2L,2L8X4X9/16X3/8SLBB,43.8,13.0,4.0,,,,1.07,3.99,,
AISC,2L,2L8X4X9/16X3/4SLBB,43.8,13.0,4.0,,,,1.07,4.13,,
AISC,2L,2L8X4X1/2SLBB,39.2,11.6,4.0,,,,1.08,3.83,,
AISC,2L,2L8X4X1/2X3/8SLBB,39.2,11.6,4.0,,,,1.08,3.97,,
AISC,2L,2L8X4X1/2X3/4SLBB,39.2,11.6,4.0,,,,1.08,4.12,,
AISC,2L,2L8X4X7/16SLBB,34.4,10.2,4.0,,,,1.09,3.82,,
AISC,2L,2L8X4X7/16X3/8SLBB,34.4,10.2,4.0,,,,1.09,3.96,,
AISC,2L,2L8X4X7/16X3/4SLBB,34.4,10.2,4.0,,,,1.09,4.1,,
AISC,2L,2L7X4X3/4SLBB,52.4,15.5,4.0,,,,1.08,3.34,,
AISC,2L,2L7X4X3/4X3/8SLBB,52.4,15.5,4.0,,,,1.08,3.48,,
AISC,2L,2L7X4X3/4X3/4SLBB,52.4,15.5,4.0,,,,1.08,3.63,,
AISC,2L,2L7X4X5/8SLBB,44.2,13.0,4.0,,,,1.1,3.31,,
AISC,2L,2L7X4X5/8X3/8SLBB,44.2,13.0,4.0,,,,1.1,3.46,,
AISC,2L,2L7X4X5/8X3/4SLBB,44.2,13.0,4.0,,,,1.1,3.6,,
AISC,2L,2L7X4X1/2SLBB,35.8,10.5,4.0,,,,1.11,3.29,,
AISC,2L,2L7X4X1/2X3/8SLBB,35.8,10.5,4.0,,,,1.11,3.43,,
AISC,2L,2L7X4X1/2X3/4SLBB,35.8,10.5,4.0,,,,1.11,3.57,,
AISC,2L,2L7X4X7/16SLBB,31.4,9.26,4.0,,,,1.12,3.28,,
AISC,2L,2L7X4X7/16X3/8SLBB,31.4,9.26,4.0,,,,1.12,3.42,,
AISC,2L,2L7X4X7/16X3/4SLBB,31.4,9.26,4.0,,,,1.12,3.56,,
AISC,2L,2L7X4X3/8SLBB,27.2,8.0,4.0,,,,1.12,3.26,,
AISC,2L,2L7X4X3/8X3/8SLBB,27.2,8.0,4.0,,,,1.12,3.4,,
AISC,2L,2L7X4X3/8X3/4SLBB,27.2,8.0,4.0,,,,1.12,3.54,,
AISC,2L,2L6X4X7/8SLBB,54.4,16.0,4.0,,,,1.1,2.82,,
AISC,2L,2L6X4X7/8X3/8SLBB,54.4,16.0,4.0,,,,1.1,2.96,,
AISC,2L,2L6X4X7/8X3/4SLBB,54.4,16.0,4.0,,,,1.1,3.11,,
AISC,2L,2L6X4X3/4SLBB,47.2,13.9,4.0,,,,1.12,2.8,,
AISC,2L,2L6X4X3/4X3/8SLBB,47.2,13.9,4.0,,,,1.12,2.94,,
AISC,2L,2L6X4X3/4X3/4SLBB,47.2,13.9,4.0,,,,1.12,3.08,,
AISC,2L,2L6X4X5/8SLBB,40.0,11.7,4.0,,,,1.13,2.77,,
AISC,2L,2L6X4X5/8X3/8SLBB,40.0,11.7,4.0,,,,1.13,2.91,,
AISC,2L,2L6X4X5/8X3/4SLBB,40.0,11.7,4.0,,,,1.13,3.06,,
AISC,2L,2L6X4X9/16SLBB,36.2,10.6,4.0,,,,1.14,2.76,,
AISC,2L,2L6X4X9/16X3/8SLBB,36.2,10.6,4.0,,,,1.14,2.9,,
AISC,2L,2L6X4X9/16X3/4SLBB,36.2,10.6,4.0,,,,1.14,3.04,,
AISC,2L,2L6X4X1/2SLBB,32.4,9.5,4.0,,,,1.14,2.75,,
AISC,2L,2L6X4X1/2X3/8SLBB,32.4,9.5,4.0,,,,1.14,2.89,,
AISC,2L,2L6X4X1/2X3/4SLBB,32.4,9.5,4.0,,,,1.14,3.03,,
AISC,2L,2L6X4X7/16SLBB,28.6,8.36,4.0,,,,1.15,2.74,,
AISC,2L,2L6X4X7/16X3/8SLBB,28.6,8.36,4.0,,,,1.15,2.88,,
AISC,2L,2L6X4X7/16X3/4SLBB,28.6,8.36,4.0,,,,1.15,3.02,,
AISC,2L,2L6X4X3/8SLBB,24.6,7.22,4.0,,,,1.16,2.73,,
